status_spse,sumber_dana,k_l_pd,jenis_tender,metode_pengadaan,metode_pemilihan,metode_evaluasi,tahun_anggaran,nilai_pagu,nilai_hps,cara_bayar,kualifikasi,jumlah_peserta
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,480335850.0,480335000.0,Gabungan Lumsum dan Harga Satuan,Kecil,26
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Jasa Lainnya,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,816606000.0,774089025.0,Lumsum,Non Kecil,18
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pengadaan Barang,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,735868000.0,611331803.0,Harga Satuan,Kecil,23
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,837000000.0,836075000.0,Gabungan Lumsum dan Harga Satuan,Kecil,25
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,600000000.0,600000000.0,Gabungan Lumsum dan Harga Satuan,Kecil,26
spse 4.5,APBDP,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,451250000.0,451250000.0,Gabungan Lumsum dan Harga Satuan,Kecil,43
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,1622480000.0,1622480000.0,Lumsum,Kecil,35
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pengadaan Barang,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,1139698000.0,940698768.0,Harga Satuan,Kecil,29
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pengadaan Barang,Pascakualifikasi Satu File,Tender Cepat,Harga Terendah Sistem Gugur,2022,1473750000.0,1434450000.0,Harga Satuan,Kecil,30
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pengadaan Barang,Pascakualifikasi Satu File,Tender Cepat,Harga Terendah Sistem Gugur,2022,1282500000.0,1248129000.0,Harga Satuan,Kecil,41
